"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","528","test_payloads_additional_create_booking[Payload without additionals]","tests","Fri Jul 11 18:19:47 GMT 2025","passed","Fri Jul 11 18:19:48 GMT 2025","","test_create_booking","",""
"","525","test_payloads_additional_create_booking[Payload with long additionals]","tests","Fri Jul 11 18:19:48 GMT 2025","passed","Fri Jul 11 18:19:49 GMT 2025","","test_create_booking","",""
"","826","test_update_booking_patch","tests","Fri Jul 11 18:20:02 GMT 2025","passed","Fri Jul 11 18:20:03 GMT 2025","","test_update_booking","",""
"","1118","test_delete_deleted_booking","tests","Fri Jul 11 18:19:50 GMT 2025","passed","Fri Jul 11 18:19:51 GMT 2025","","test_delete_booking","",""
"","790","test_get_booking","tests","Fri Jul 11 18:19:52 GMT 2025","passed","Fri Jul 11 18:19:52 GMT 2025","","test_get_bookings","",""
"","859","test_update_booking_put_without_auth","tests","Fri Jul 11 18:20:01 GMT 2025","passed","Fri Jul 11 18:20:02 GMT 2025","","test_update_booking","",""
"","824","test_update_booking_patch_wrong_data","tests","Fri Jul 11 18:20:03 GMT 2025","passed","Fri Jul 11 18:20:04 GMT 2025","","test_update_booking","",""
"","521","test_incorrect_dates_create_booking[Empty one day]","tests","Fri Jul 11 18:19:45 GMT 2025","passed","Fri Jul 11 18:19:45 GMT 2025","","test_create_booking","",""
"","556","test_payloads_additional_create_booking[Payload with 2 additionals]","tests","Fri Jul 11 18:19:48 GMT 2025","passed","Fri Jul 11 18:19:48 GMT 2025","","test_create_booking","",""
"","788","test_delete_booking","tests","Fri Jul 11 18:19:49 GMT 2025","passed","Fri Jul 11 18:19:50 GMT 2025","","test_delete_booking","",""
"","662","test_incorrect_dates_create_booking[Wrong dates 'checkin>checkout']","tests","Fri Jul 11 18:19:45 GMT 2025","passed","Fri Jul 11 18:19:46 GMT 2025","","test_create_booking","",""
"","787","test_get_booking_by_id","tests","Fri Jul 11 18:19:51 GMT 2025","passed","Fri Jul 11 18:19:52 GMT 2025","","test_get_bookings","",""
"","3136","test_get_bookings_with_filter_dates","tests","Fri Jul 11 18:19:56 GMT 2025","passed","Fri Jul 11 18:19:59 GMT 2025","","test_get_bookings","",""
"","852","test_update_booking_put","tests","Fri Jul 11 18:19:59 GMT 2025","passed","Fri Jul 11 18:20:00 GMT 2025","","test_update_booking","",""
"","265","test_incorrect_payloads_create_booking[Payload incorrect data types]","tests","Fri Jul 11 18:19:47 GMT 2025","passed","Fri Jul 11 18:19:47 GMT 2025","","test_create_booking","",""
"","554","test_incorrect_payloads_create_booking[Empty payload]","tests","Fri Jul 11 18:19:46 GMT 2025","passed","Fri Jul 11 18:19:47 GMT 2025","","test_create_booking","",""
"","282","test_success_authentification","tests","Fri Jul 11 18:19:42 GMT 2025","passed","Fri Jul 11 18:19:42 GMT 2025","","test_auhtentification","",""
"","228","test_incorrect_payloads_create_booking[Without payload]","tests","Fri Jul 11 18:19:47 GMT 2025","passed","Fri Jul 11 18:19:47 GMT 2025","","test_create_booking","",""
"","247","test_incorrect_authentification[Wrong login, password ]","tests","Fri Jul 11 18:19:42 GMT 2025","passed","Fri Jul 11 18:19:42 GMT 2025","","test_auhtentification","",""
"","238","test_incorrect_authentification[Empty login, password]","tests","Fri Jul 11 18:19:42 GMT 2025","passed","Fri Jul 11 18:19:43 GMT 2025","","test_auhtentification","",""
"","544","test_correct_dates_create_booking[Correct dates on today]","tests","Fri Jul 11 18:19:43 GMT 2025","passed","Fri Jul 11 18:19:44 GMT 2025","","test_create_booking","",""
"","901","test_get_bookings_all_ids","tests","Fri Jul 11 18:19:52 GMT 2025","passed","Fri Jul 11 18:19:53 GMT 2025","","test_get_bookings","",""
"","850","test_update_booking_patch_without_auth","tests","Fri Jul 11 18:20:04 GMT 2025","passed","Fri Jul 11 18:20:04 GMT 2025","","test_update_booking","",""
"","568","test_incorrect_dates_create_booking[Past dates]","tests","Fri Jul 11 18:19:44 GMT 2025","passed","Fri Jul 11 18:19:44 GMT 2025","","test_create_booking","",""
"","559","test_correct_dates_create_booking[Correct dates]","tests","Fri Jul 11 18:19:43 GMT 2025","passed","Fri Jul 11 18:19:43 GMT 2025","","test_create_booking","",""
"","2993","test_get_bookings_with_filter_name","tests","Fri Jul 11 18:19:53 GMT 2025","passed","Fri Jul 11 18:19:56 GMT 2025","","test_get_bookings","",""
"","539","test_incorrect_dates_create_booking[Empty dates]","tests","Fri Jul 11 18:19:44 GMT 2025","passed","Fri Jul 11 18:19:45 GMT 2025","","test_create_booking","",""
"","244","test_incorrect_dates_create_booking[Payload without dates]","tests","Fri Jul 11 18:19:46 GMT 2025","passed","Fri Jul 11 18:19:46 GMT 2025","","test_create_booking","",""
"","816","test_wrong_data_update_booking_put","tests","Fri Jul 11 18:20:00 GMT 2025","passed","Fri Jul 11 18:20:01 GMT 2025","","test_update_booking","",""
